Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.300683975219727,23.413611071233326,23.029657796030342,23.05224378961144,38409100
2010-01-05,23.308210372924805,23.41361023660008,23.067298860431404,23.225397937971373,49749600
2010-01-06,23.16516876220703,23.398551597368396,22.976956474121394,23.247981192521564,58182400
2010-01-07,22.924251556396484,23.112463797628163,22.728510653202086,23.05976316388912,50559700
2010-01-08,23.08234977722168,23.247976037067392,22.766153145919514,22.796267794588996,51197400
2010-01-11,22.788742065429688,23.157637943436438,22.675814990275896,23.11999462775473,68754700
2010-01-12,22.63817596435547,22.886616151149596,22.517720203239886,22.69840384491326,65912100
2010-01-13,22.84897232055664,22.976956735347766,22.593003490974386,22.78121578119982,51863500
2010-01-14,23.308210372924805,23.41361023660008,22.78121679833196,22.81885868367935,63228100
2010-01-15,23.23292350769043,23.519005531684805,23.119994994798162,23.398549791482363,79913200
2010-01-19,23.41360855102539,23.519006971167023,23.097411854654723,23.15011106472554,46575700
2010-01-20,23.029653549194336,23.293151015265835,22.818855289148,23.195279830408523,54849500
2010-01-21,22.593000411987305,23.127522554128554,22.5854717490908,23.044710134158244,73086700
2010-01-22,21.802515029907227,22.73604942516133,21.712173918073656,22.585478990843935,102004600
2010-01-25,22.073530197143555,22.32949894589177,21.90790395098986,22.013302340729,63373000
2010-01-26,22.209054946899414,22.472552496170493,21.90038684047921,21.9832007252077,66639900
2010-01-27,22.3370304107666,22.44995747622324,21.847678836490807,22.096118954873628,63949500
2010-01-28,21.953073501586914,22.48759695979042,21.74980395680761,22.465010976166507,117513700
2010-01-29,21.215286254882812,22.525243416981294,20.823804408017818,22.510186091499044,193888500
2010-02-01,21.388444900512695,21.44114411289713,21.019548977875818,21.37338757241833,85931100
2010-02-02,21.426082611083984,21.456197261406494,21.18517115228615,21.358327519749462,54413700
2010-02-03,21.554065704345703,21.674522862432163,21.17011398748724,21.27551238537423,61397900
2010-02-04,20.95931625366211,21.456196478283562,20.936730266744586,21.365853966558976,77850000
2010-02-05,21.094825744628906,21.29056662372323,20.756043177745415,21.079768422557358,80960100
2010-02-08,20.868982315063477,21.140008525631217,20.75605520597562,21.087309303786622,52820600
2010-02-09,21.087303161621094,21.335743303628877,20.891562226108043,21.057188508798003,59195800
2010-02-10,21.072246551513672,21.26045883021881,20.959319471479734,21.102361205360445,48591300
2010-02-11,21.17011833190918,21.380915170941797,20.853921637414484,21.027076594032923,65993700
2010-02-12,21.027076721191406,21.12494647762758,20.763579234861396,20.93673419252697,81117200
2010-02-16,21.44308090209961,21.45820864206909,21.193478963245994,21.276678647756743,51935600
2010-02-17,21.624605178833008,21.669986947109333,21.450640531556754,21.57922341055668,45882900
2010-02-18,21.91202735900879,21.9574105748974,21.56409802649281,21.624607538350396,42856500
2010-02-19,21.760753631591797,21.87420878250366,21.700244121594768,21.77588136975618,44451800
2010-02-22,21.730491638183594,21.88932995595224,21.669982146333652,21.81369273047479,36707100
2010-02-23,21.427947998046875,21.806132750178065,21.246419490143143,21.692677613070778,52266200
2010-02-24,21.65485954284668,21.77587999787697,21.46576715568621,21.57165987350516,43165900
2010-02-25,21.632177352905273,21.669995267212173,21.193482910704844,21.38257536756125,48735300
2010-02-26,21.68511199951172,21.821258730146386,21.564093003983174,21.669984264405596,40370600
2010-03-01,21.949844360351562,21.972534523210978,21.579223459490265,21.76075197566761,43805400
2010-03-02,21.526281356811523,22.16163203165525,21.35988053917559,21.995231214019316,93123900
2010-03-03,21.526281356811523,21.63973796798134,21.443081669323927,21.564100708088375,48442100
2010-03-04,21.65485954284668,21.66998728005802,21.382567486344687,21.52627666187114,42890600
2010-03-05,21.624605178833008,21.692678552577696,21.496022299833083,21.67755081559879,56001800
2010-03-08,21.65485954284668,21.8817712730355,21.55653213629382,21.57165987350516,39414500
2010-03-09,21.7834415435791,22.01791713289871,21.59434916405963,21.60191303235965,50271600
2010-03-10,21.91202735900879,22.017920086754987,21.78344446597885,21.82882768186746,44891400
2010-03-11,22.07086944580078,22.078433316389226,21.821267487025317,21.85152152671829,35349700
2010-03-12,22.138938903808594,22.222138580173276,21.96497423917452,22.176756807368854,31700200
2010-03-15,22.15406608581543,22.214575595588254,21.94228208028029,22.070864968880105,37512000
2010-03-16,22.214576721191406,22.305340269119338,22.08599382607635,22.252394625717947,36723500
2010-03-17,22.41123390197754,22.59276390215751,22.237269214687526,22.31290647431906,50385700
2010-03-18,22.396102905273438,22.479302575017417,22.31290179286903,22.411229199897523,43845200
2010-03-19,22.38097381591797,22.615447959021285,22.199445307451498,22.509556689747594,81332100
2010-03-22,22.38854217529297,22.464179429658746,22.22970379685877,22.312904920927192,37718200
2010-03-23,22.60032081604004,22.615448552807855,22.244827657958655,22.380974403548237,42026600
2010-03-24,22.42635726928711,22.577631759051588,22.388539368176218,22.479302907906543,33987700
2010-03-25,22.698650360107422,23.12221690400367,22.539812004483565,22.562503610332808,73168700
2010-03-26,22.433923721313477,22.842364025113305,22.38097807659734,22.759162901896165,55595500
2010-03-29,22.38097381591797,22.554938456199128,22.350718343176716,22.47173734882103,33336000
2010-03-30,22.517120361328125,22.585193731741224,22.312900250088834,22.41122765031868,34954800
2010-03-31,22.15406608581543,22.47930379918154,22.06330109982594,22.418794289408716,63760000
2010-04-01,22.055740356445312,22.343161650594094,21.64730146826114,22.1994510035197,74768100
2010-04-05,22.138938903808594,22.259957926394083,21.957410369930358,22.03304617705088,34331200
2010-04-06,22.176759719848633,22.37341601804211,21.919593902415674,22.04817681113215,47366800
2010-04-07,22.199447631835938,22.358284552377427,22.04060926863395,22.055737006588522,58318800
2010-04-08,22.63057518005371,22.67595694547182,22.161625461865547,22.17675319789169,63713800
2010-04-09,22.948257446289062,23.001203095923504,22.615454365165885,22.65327371680531,54752500
2010-04-12,22.933124542236328,23.06170742353841,22.849923430023093,22.88017890452261,37068800
2010-04-13,23.031450271606445,23.069268166947182,22.789410836380927,22.80453857158132,41374600
2010-04-14,23.311315536499023,23.447462322747157,23.19029649153642,23.288625367231543,68941200
2010-04-15,23.349124908447266,23.409634405062015,23.22810447255757,23.311305571400425,52745400
2010-04-16,23.197856903076172,23.432331087395458,23.14491125913252,23.288621894594286,88703100
2010-04-19,23.477712631225586,23.636549551736216,23.26592862788425,23.273492496860065,64970300
2010-04-20,23.71975326538086,23.780262781153336,23.54578714520692,23.613860530783537,52199500
2010-04-21,23.697059631347656,23.82564252171093,23.621422382429166,23.697059631347656,55343100
2010-04-22,23.74243927001953,23.848331986053577,23.37181837055137,23.477711086585416,84847600
2010-04-23,23.41719627380371,23.886145943428637,23.182722160321326,23.538216706819952,126766600
2010-04-26,23.530658721923828,23.659241611653595,23.341566321889495,23.447457604257355,63649300
2010-04-27,23.334001541137695,23.636549080840357,23.25836429554691,23.40963878672848,68730900
2010-04-28,23.379384994506836,23.44745837617309,23.16003855342936,23.386948863876484,64557900
2010-04-29,23.44745445251465,23.772693567681632,23.19785257572655,23.394508818447527,52665200
2010-04-30,23.099531173706055,23.507970058750505,23.084403433570152,23.500406188682554,63214800
